txn_id,user_id,amount,merchant,country,card_present,device_type,timestamp,velocity_1h,is_international,label
1,861,206.12,7,3,0,0,0,0,1,0
2,3773,181.24,5,6,0,0,1,2,0,0
3,3093,169.44,6,5,0,1,2,1,1,0
4,467,166.4,7,1,1,2,3,5,0,0
5,4427,131.25,4,2,0,0,4,4,0,0
6,3445,259.76,6,0,0,2,5,1,0,0
7,3172,328.22,4,3,1,2,6,3,0,1
8,2920,248.64,1,5,1,0,7,1,0,0
9,131,167.01,2,5,0,1,8,2,0,0
10,1686,405.6,0,5,0,1,9,3,0,1
11,770,196.12,2,4,0,0,10,3,0,0
12,2392,238.01,4,6,0,2,11,3,0,0
13,2434,227.14,4,7,1,2,12,2,0,0
14,1185,217.43,2,5,1,0,13,3,1,0
15,4556,201.17,5,5,0,0,14,2,0,0
16,3386,138.02,7,0,1,0,15,0,1,0
17,4118,146.9,4,7,1,0,16,3,0,0
18,4844,293.23,5,4,0,0,17,3,0,1
19,2905,134.87,1,3,0,1,18,2,0,0
20,475,132.19,6,4,0,0,19,2,0,0
21,1083,145.74,3,7,0,2,20,2,0,0
22,2559,155.02,0,0,1,0,21,2,0,0
23,2048,183.44,4,0,0,0,22,4,0,0
24,2748,193.42,3,1,0,0,23,0,1,1
25,976,244.11,4,5,0,2,24,3,0,0
26,1807,125.1,5,4,1,0,25,3,0,0
27,190,137.68,3,5,1,2,26,2,0,0
28,2735,175.28,3,3,1,1,27,1,0,0
29,3006,142.1,6,0,0,0,28,1,1,0
30,4659,284.39,0,0,0,1,29,2,0,0
31,1900,200.77,1,2,0,0,30,3,0,0
32,1268,172.9,2,0,0,0,31,4,1,0
33,1529,119.04,3,3,1,0,32,3,0,0
34,3203,275.52,7,1,1,2,33,1,0,0
35,3557,168.42,3,7,1,1,34,3,0,0
36,3891,179.64,6,2,0,1,35,1,0,0
37,647,214.86,5,2,0,1,36,3,0,0
38,2889,340.75,4,7,0,2,37,3,1,0
39,2436,132.78,2,0,0,0,38,4,0,1
40,601,124.91,3,7,0,0,39,2,0,0
41,2364,129.4,5,3,0,2,40,0,0,0
42,2062,226.99,1,4,0,2,41,2,0,0
43,242,130.07,1,1,0,0,42,1,0,0
44,2042,174.61,4,6,0,2,43,3,0,0
45,2825,217.07,0,7,1,1,44,1,0,0
46,2613,218.8,1,7,0,2,45,3,1,0
47,1364,160.72,6,0,0,0,46,2,0,0
48,1479,214.95,0,6,0,2,47,0,0,0
49,2557,358.68,0,3,0,2,48,2,0,0
50,776,121.27,6,7,0,1,49,0,0,0
51,4015,208.03,3,1,1,1,50,2,0,0
52,35,178.16,1,5,0,2,51,5,0,0
